Iteración,GD,Momentum,Nesterov,Adagrad,RMSprop,Adam
861,3.3029166082363186e-166,1.07614585329613e-38,1.5759272870683703e-122,0.7400130798651656,0.007499999000000038,8.719985054883446e-39
862,2.1138666292712442e-166,9.613252047689726e-39,1.6520210367664827e-123,0.7376768430849642,0.007499999000000038,4.050467891374021e-39
863,1.3528746427335964e-166,5.559260040858327e-39,8.182680464262103e-124,0.735348344399698,0.007499999000000038,3.15066795482796e-39
864,8.658397713495017e-167,1.992589049492072e-39,5.291781116524339e-123,0.7330275556444974,0.007499999000000038,5.2163248871809626e-39
865,5.5413745366368106e-167,3.196472606931645e-39,8.095673314905231e-123,0.7307144487744895,0.007499999000000038,9.338634677319842e-39
866,3.546479703447559e-167,7.581328445718951e-39,7.121220696659145e-123,0.728408995864173,0.007499999000000038,1.4592296114363408e-38
867,2.269747010206438e-167,9.380293599175022e-39,4.0304777493289804e-123,0.7261111691067953,0.007499999000000038,2.011711324570729e-38
868,1.4526380865321203e-167,6.1769710585055e-39,1.2773413208785313e-123,0.7238209408137362,0.007499999000000038,2.5184496404655894e-38
869,9.296883753805569e-168,1.6217625261774817e-39,7.421331428822488e-125,0.7215382834138919,0.007499999000000038,2.9243070794622115e-38
870,5.950005602435563e-168,2.798194939325159e-40,1.5972839558338049e-124,0.719263169453066,0.007499999000000038,3.194085214985564e-38
871,3.80800358555876e-168,2.2416758593178296e-39,6.4581635803940345e-124,0.7169955715933626,0.007499999000000038,3.312458898365058e-38
872,2.437122294757607e-168,4.146364169051686e-39,8.719032379155366e-124,0.7147354626125838,0.007499999000000038,3.281949791679404e-38
873,1.5597582686448683e-168,3.922372234136316e-39,7.067766519809506e-124,0.7124828154036313,0.007499999000000038,3.1194462885136434e-38
874,9.982452919327157e-169,2.586946443152842e-39,3.667013164177691e-124,0.7102376029739104,0.007499999000000038,2.8518709109910795e-38
875,6.38876986836938e-169,1.823388151467634e-39,9.931645051275545e-125,0.7079997984447393,0.007499999000000038,2.511601740926126e-38
876,4.088812715756403e-169,1.6952263649151866e-39,1.8505776798817063e-126,0.7057693750507615,0.007499999000000038,2.1321847180266345e-38
877,2.6168401380840978e-169,1.3730358164130127e-39,2.6087616007633267e-125,0.7035463061393616,0.007499999000000038,1.74474981308748e-38
878,1.674777688373823e-169,8.753421368803277e-40,7.64403367252245e-125,0.7013305651700852,0.007499999000000038,1.3753908635987866e-38
879,1.0718577205592467e-169,9.538342652460095e-40,9.238881990670879e-125,0.699122125714062,0.007499999000000038,1.0436106339828182e-38
880,6.859889411579177e-170,1.6487512051810717e-39,6.914141737923286e-125,0.6969209614534326,0.007499999000000038,7.617903030880287e-39
